ZIP,latitude,longitude,city,state,county,population_2010,population_2020
87321,35.1324,-108.492,Ramah,NM,McKinley,2226,1964
87322,35.5289,-108.6548,Rehoboth,NM,McKinley,247,826
87323,35.3976,-108.1604,Thoreau,NM,McKinley,4558,4050
87325,36.0021,-108.6229,Tohatchi,NM,McKinley,3034,2032
87326,35.3509,-108.6985,Vanderwagen,NM,McKinley,1688,2437
87327,35.0684,-108.8336,Zuni,NM,McKinley,7883,7454
87328,35.8942,-109.0226,Navajo,NM,McKinley,2668,2965
87347,35.4809,-108.1767,Jamestown,NM,McKinley,309,343
87357,34.9992,-108.4112,Pinehill,NM,Cibola,604,1459
87364,36.142,-108.7064,Sheep Springs,NM,San Juan,1111,1553
87375,35.4809,-108.1767,Yatahey,NM,McKinley,3193,4235
87401,36.7412,-108.1797,Farmington,NM,San Juan,46293,44724
87402,36.7685,-108.1478,Farmington,NM,San Juan,11034,11646
87410,36.8205,-108.011,Aztec,NM,San Juan,17603,16064
87412,36.7242,-107.8253,Blanco,NM,San Juan,966,766
87413,36.6955,-107.9784,Bloomfield,NM,San Juan,16792,14652
87415,36.8028,-108.0827,Flora Vista,NM,San Juan,1791,1708
87416,36.6933,-108.4218,Fruitland,NM,San Juan,5454,5310
87417,36.741,-108.351,Kirtland,NM,San Juan,6910,5838
87418,36.9576,-108.1792,La Plata,NM,San Juan,1059,1052
87419,36.8689,-107.6528,Navajo Dam,NM,San Juan,464,296
87420,36.656,-108.7355,Shiprock,NM,San Juan,11967,10462
87421,36.7637,-108.5186,Waterflow,NM,San Juan,1871,1717
87455,36.2847,-108.7059,Newcomb,NM,San Juan,1750,1641
87461,36.4247,-108.8743,Sanostee,NM,San Juan,1315,1313
87499,36.7745,-108.0692,Farmington,NM,San Juan,453,602
87501,35.6975,-105.9821,Santa Fe,NM,Santa Fe,15147,15116
87505,35.6219,-105.8688,Santa Fe,NM,Santa Fe,31013,32078
87506,35.8195,-105.9886,Santa Fe,NM,Santa Fe,12580,15253
87507,35.6567,-106.0152,Santa Fe,NM,Santa Fe,45890,51338
87508,35.5335,-105.926,Santa Fe,NM,Santa Fe,18183,19156
87510,36.1769,-106.2449,Abiquiu,NM,Rio Arriba,1096,1207
87511,36.0889,-106.0536,Alcalde,NM,Rio Arriba,2747,2821
87512,36.942,-105.4545,Amalia,NM,Taos,199,213
87513,36.5796,-105.6873,Arroyo Hondo,NM,Taos,1007,1143
